2049,sum_top_down,sum_bottom_up,count_top_down,count_bottom_up,diff,_count,over_median,winner
is the girl,0.504125462466,0.495874537534,0.5,0.5,0.01,1214,True,top_down
is the lady,0.508743403549,0.491256596451,0.5,0.5,0.02,490,True,top_down
is the little girl,0.504705935511,0.495294064489,0.5,0.5,0.01,366,True,top_down
is the man,0.507210651557,0.492789348443,0.5,0.5,0.01,1713,True,top_down
is the old man,0.506694323379,0.493305676621,0.5,0.5,0.01,218,True,top_down
is the sun,0.499819928255,0.500180071745,0.5,0.5,-0.0,455,True,bottom_up
is the tv,0.496961300193,0.503038699807,0.5,0.5,-0.01,289,True,bottom_up
is the woman,0.505310074511,0.494689925489,0.5,0.5,0.01,1831,True,top_down
is the young,0.509562840025,0.490437159975,0.5,0.5,0.02,312,True,top_down
is there,0.505100713687,0.494899286313,0.5,0.5,0.01,422,True,top_down
is there a,0.499494710419,0.500505289581,0.5,0.5,-0.0,2263,True,bottom_up
is this,0.505070668128,0.494929331872,0.5,0.5,0.01,820,True,top_down
is this a,0.503828047929,0.496171952071,0.5,0.5,0.01,354,True,top_down
it's the,0.54762769745,0.45237230255,0.5,0.5,0.1,1,False,top_down
lady walking,0.504470175957,0.495529824043,0.5,0.5,0.01,5,False,top_down
male or,0.49086824811,0.50913175189,0.5,0.5,-0.02,14,True,bottom_up
man or,0.517570755686,0.482429244314,0.5,0.5,0.04,19,True,top_down
might it,0.492290475006,0.507709524994,0.5,0.5,-0.02,2,False,bottom_up
might the,0.511085547656,0.488914452344,0.5,0.5,0.02,9,True,top_down
might they,0.520936993347,0.479063006653,0.5,0.5,0.04,1,False,top_down
name one,0.532680136319,0.467319863681,0.5,0.5,0.07,1,False,top_down
name the,0.542246032385,0.457753967615,0.5,0.5,0.08,9,True,top_down
no it's,0.494738424534,0.505261575466,0.5,0.5,-0.01,1,False,bottom_up
no sitting,0.511587557318,0.488412442682,0.5,0.5,0.02,1,False,top_down
on the,0.509097191165,0.490902808835,0.5,0.5,0.02,4046,True,top_down
orange and,0.535745153723,0.464254846277,0.5,0.5,0.07,1,False,top_down
pick one,0.544525989256,0.455474010744,0.5,0.5,0.09,1,False,top_down
should a,0.493331757964,0.506668242036,0.5,0.5,-0.01,9,True,bottom_up
should books,0.502929014473,0.497070985527,0.5,0.5,0.01,1,False,top_down
should cat,0.511362998709,0.488637001291,0.5,0.5,0.02,1,False,top_down
should cats,0.513505561113,0.486494438887,0.5,0.5,0.03,1,False,top_down
should children,0.498973832735,0.501026167265,0.5,0.5,-0.0,1,False,bottom_up
should he,0.508727060008,0.491272939992,0.5,0.5,0.02,9,True,top_down
should people,0.534175379223,0.465824620777,0.5,0.5,0.07,1,False,top_down
should she,0.514009144376,0.485990855624,0.5,0.5,0.03,6,False,top_down
should someone,0.489809824692,0.510190175308,0.5,0.5,-0.02,2,False,bottom_up
should the,0.50519158041,0.49480841959,0.5,0.5,0.01,93,True,top_down
should there,0.513099191574,0.486900808426,0.5,0.5,0.03,2,False,top_down
should these,0.527911551245,0.472088448755,0.5,0.5,0.06,1,False,top_down
should they,0.511429010088,0.488570989912,0.5,0.5,0.02,7,True,top_down
shouldn't the,0.494575408519,0.505424591481,0.5,0.5,-0.01,1,False,bottom_up
something flying,0.514534140312,0.485465859688,0.5,0.5,0.03,1,False,top_down
the boy,0.504698093007,0.495301906993,0.5,0.5,0.01,1434,True,top_down
the curtains,0.507716930379,0.492283069621,0.5,0.5,0.02,268,True,top_down
the older,0.511954149265,0.488045850735,0.5,0.5,0.02,92,True,top_down
the shirt,0.507935418056,0.492064581944,0.5,0.5,0.02,5,False,top_down
their outfits,0.514676961177,0.485323038823,0.5,0.5,0.03,2,False,top_down
to the,0.506663579432,0.493336420568,0.5,0.5,0.01,603,True,top_down
to walk,0.489480458079,0.510519541921,0.5,0.5,-0.02,4,False,bottom_up
two green,0.512368889768,0.487631110232,0.5,0.5,0.02,1,False,top_down
was a,0.506982207335,0.493017792665,0.5,0.5,0.01,2,False,top_down
was he,0.510838802914,0.489161197086,0.5,0.5,0.02,2,False,top_down
was her,0.484773031986,0.515226968014,0.5,0.5,-0.03,1,False,bottom_up
was it,0.506200676437,0.493799323563,0.5,0.5,0.01,2,False,top_down
was someone,0.518275321053,0.481724678947,0.5,0.5,0.04,2,False,top_down
was that,0.50597565062,0.49402434938,0.5,0.5,0.01,1,False,top_down
was the,0.514617880816,0.485382119184,0.5,0.5,0.03,27,True,top_down
was there,0.516701231081,0.483298768919,0.5,0.5,0.03,4,False,top_down
were her,0.507407407407,0.492592592593,0.5,0.5,0.01,1,False,top_down
were the,0.507535301248,0.492464698752,0.5,0.5,0.02,4,False,top_down
were there,0.512407347728,0.487592652272,0.5,0.5,0.02,2,False,top_down
were they,0.5128304403,0.4871695597,0.5,0.5,0.03,3,False,top_down
what,0.519481087742,0.480518912258,0.5,0.5,0.04,3682,True,top_down
what animal is,0.51057198784,0.48942801216,0.5,0.5,0.02,511,True,top_down
what are the,0.52403126623,0.47596873377,0.5,0.5,0.05,965,True,top_down
what are they,0.522882291381,0.477117708619,0.5,0.5,0.05,456,True,top_down
what color,0.500131252278,0.499868747722,0.5,0.5,0.0,433,True,top_down
what color are the,0.51268899953,0.48731100047,0.5,0.5,0.03,1143,True,top_down
what color is,0.495332101802,0.504667898198,0.5,0.5,-0.01,261,True,bottom_up
what color is the,0.501281919348,0.498718080652,0.5,0.5,0.0,6286,True,top_down
what is,0.528910592075,0.471089407925,0.5,0.5,0.06,3209,True,top_down
what is in the,0.531131237555,0.468868762445,0.5,0.5,0.06,1103,True,top_down
what is on the,0.537947928994,0.462052071006,0.5,0.5,0.08,1823,True,top_down
what is the,0.515884889715,0.484115110285,0.5,0.5,0.03,2624,True,top_down
what is the baby,0.512254232608,0.487745767392,0.5,0.5,0.02,247,True,top_down
what is the boy,0.513822833613,0.486177166387,0.5,0.5,0.03,884,True,top_down
what is the cat,0.51273018433,0.48726981567,0.5,0.5,0.03,420,True,top_down
what is the dog,0.525501173372,0.474498826628,0.5,0.5,0.05,608,True,top_down
what is the girl,0.516456161937,0.483543838063,0.5,0.5,0.03,853,True,top_down
what is the lady,0.516843938909,0.483156061091,0.5,0.5,0.03,410,True,top_down
what is the little,0.510241489654,0.489758510346,0.5,0.5,0.02,319,True,top_down
what is the man,0.518203759527,0.481796240473,0.5,0.5,0.04,1088,True,top_down
what is the woman,0.514441189216,0.485558810784,0.5,0.5,0.03,996,True,top_down
what kind of,0.513773809008,0.486226190992,0.5,0.5,0.03,1130,True,top_down
what type of,0.518473852583,0.481526147417,0.5,0.5,0.04,678,True,top_down
when was,0.514095744681,0.485904255319,0.5,0.5,0.03,2,False,top_down
when will,0.517501145252,0.482498854748,0.5,0.5,0.04,4,False,top_down
where are the,0.517462814163,0.482537185837,0.5,0.5,0.03,494,True,top_down
where could,0.512734547785,0.487265452215,0.5,0.5,0.03,8,True,top_down
where did,0.518657051976,0.481342948024,0.5,0.5,0.04,19,True,top_down
where else,0.518926236208,0.481073763792,0.5,0.5,0.04,3,False,top_down
where has,0.519556248579,0.480443751421,0.5,0.5,0.04,5,False,top_down
where in,0.491126481928,0.508873518072,0.5,0.5,-0.02,4,False,bottom_up
where is the,0.502407227209,0.497592772791,0.5,0.5,0.0,3959,True,top_down
where it,0.540673116228,0.459326883772,0.5,0.5,0.08,3,False,top_down
where might,0.544228068533,0.455771931467,0.5,0.5,0.09,7,True,top_down
where the,0.512542789498,0.487457210502,0.5,0.5,0.03,18,True,top_down
where was,0.518768607082,0.481231392918,0.5,0.5,0.04,6,False,top_down
where will,0.458897980056,0.541102019944,0.5,0.5,-0.08,1,False,bottom_up
where would,0.513689336855,0.486310663145,0.5,0.5,0.03,5,False,top_down
where's the,0.488583106267,0.511416893733,0.5,0.5,-0.02,3,False,bottom_up
which,0.499397943941,0.500602056059,0.5,0.5,-0.0,791,True,bottom_up
who,0.53268634609,0.46731365391,0.5,0.5,0.07,383,True,top_down
who is,0.534443392255,0.465556607745,0.5,0.5,0.07,1173,True,top_down
why,0.514520785482,0.485479214518,0.5,0.5,0.03,427,True,top_down
why is the,0.516812133215,0.483187866785,0.5,0.5,0.03,736,True,top_down
will 3,0.51866951401,0.48133048599,0.5,0.5,0.04,1,False,top_down
will a,0.512538705862,0.487461294138,0.5,0.5,0.03,5,False,top_down
will all,0.496680824288,0.503319175712,0.5,0.5,-0.01,2,False,bottom_up
will an,0.485140901926,0.514859098074,0.5,0.5,-0.03,2,False,bottom_up
will ants,0.492057582527,0.507942417473,0.5,0.5,-0.02,1,False,bottom_up
will anyone,0.49188432242,0.50811567758,0.5,0.5,-0.02,3,False,bottom_up
will either,0.496431860037,0.503568139963,0.5,0.5,-0.01,2,False,bottom_up
will everyone,0.504888460479,0.495111539521,0.5,0.5,0.01,1,False,top_down
will he,0.506210920443,0.493789079557,0.5,0.5,0.01,27,True,top_down
will it,0.497199958364,0.502800041636,0.5,0.5,-0.01,42,True,bottom_up
will leaves,0.508842239186,0.491157760814,0.5,0.5,0.02,1,False,top_down
will mom,0.511681964477,0.488318035523,0.5,0.5,0.02,1,False,top_down
will more,0.516253432402,0.483746567598,0.5,0.5,0.03,4,False,top_down
will one,0.495175335373,0.504824664627,0.5,0.5,-0.01,1,False,bottom_up
will people,0.494508217029,0.505491782971,0.5,0.5,-0.01,1,False,bottom_up
will rain,0.488594967214,0.511405032786,0.5,0.5,-0.02,5,False,bottom_up
will she,0.508366396412,0.491633603588,0.5,0.5,0.02,35,True,top_down
will someone,0.502890966258,0.497109033742,0.5,0.5,0.01,6,False,top_down
will stars,0.47927682074,0.52072317926,0.5,0.5,-0.04,1,False,bottom_up
will that,0.505917175046,0.494082824954,0.5,0.5,0.01,12,True,top_down
will the,0.503436775208,0.496563224792,0.5,0.5,0.01,829,True,top_down
will those,0.514080572163,0.485919427837,0.5,0.5,0.03,2,False,top_down
will two,0.529400209534,0.470599790466,0.5,0.5,0.06,1,False,top_down
will water,0.512950772753,0.487049227247,0.5,0.5,0.03,1,False,top_down
will you,0.497747528764,0.502252471236,0.5,0.5,-0.0,2,False,bottom_up
would a,0.512113651231,0.487886348769,0.5,0.5,0.02,23,True,top_down
would combining,0.504827750626,0.495172249374,0.5,0.5,0.01,1,False,top_down
would he,0.516823445994,0.483176554006,0.5,0.5,0.03,7,True,top_down
would it,0.505565701594,0.494434298406,0.5,0.5,0.01,25,True,top_down
would jelly,0.482839074108,0.517160925892,0.5,0.5,-0.03,1,False,bottom_up
would more,0.479179149191,0.520820850809,0.5,0.5,-0.04,1,False,bottom_up
would pillows,0.540982076176,0.459017923824,0.5,0.5,0.08,1,False,top_down
would she,0.507245542174,0.492754457826,0.5,0.5,0.01,10,True,top_down
would smokey,0.47461145412,0.52538854588,0.5,0.5,-0.05,1,False,bottom_up
would some,0.53745249479,0.46254750521,0.5,0.5,0.07,1,False,top_down
would sunglasses,0.535398230088,0.464601769912,0.5,0.5,0.07,1,False,top_down
would that,0.498801715439,0.501198284561,0.5,0.5,-0.0,2,False,bottom_up
would the,0.50837749446,0.49162250554,0.5,0.5,0.02,87,True,top_down
would there,0.494161817158,0.505838182842,0.5,0.5,-0.01,2,False,bottom_up
would these,0.505199032885,0.494800967115,0.5,0.5,0.01,7,True,top_down
would they,0.509305289262,0.490694710738,0.5,0.5,0.02,6,False,top_down
would you,0.511858940714,0.488141059286,0.5,0.5,0.02,43,True,top_down
