2049,sum_top_down,sum_bottom_up,count_top_down,count_bottom_up,diff,_count,over_median,winner
can anything,0.48321250088,0.51678749912,0.5,0.5,-0.03,2,False,bottom_up
can babies,0.508504207657,0.491495792343,0.5,0.5,0.02,2,False,top_down
can baseball,0.50237593985,0.49762406015,0.5,0.5,0.0,2,False,top_down
can bears,0.508320532514,0.491679467486,0.5,0.5,0.02,1,False,top_down
can bikes,0.509934919081,0.490065080919,0.5,0.5,0.02,1,False,top_down
can buses,0.498585509663,0.501414490337,0.5,0.5,-0.0,2,False,bottom_up
can cars,0.491952882292,0.508047117708,0.5,0.5,-0.02,6,True,bottom_up
can cat's,0.508537946429,0.491462053571,0.5,0.5,0.02,1,False,top_down
can cumulus,0.494885071988,0.505114928012,0.5,0.5,-0.01,2,False,bottom_up
can elephants,0.464519166106,0.535480833894,0.5,0.5,-0.07,5,True,bottom_up
can he,0.506212305662,0.493787694338,0.5,0.5,0.01,21,True,top_down
can her,0.499708414806,0.500291585194,0.5,0.5,-0.0,4,False,bottom_up
can horses,0.496357491551,0.503642508449,0.5,0.5,-0.01,1,False,bottom_up
can i,0.50388080374,0.49611919626,0.5,0.5,0.01,30,True,top_down
can ice,0.498966274712,0.501033725288,0.5,0.5,-0.0,2,False,bottom_up
can juice,0.490285326087,0.509714673913,0.5,0.5,-0.02,1,False,bottom_up
can kids,0.503047676524,0.496952323476,0.5,0.5,0.01,2,False,top_down
can kites,0.492410966228,0.507589033772,0.5,0.5,-0.02,2,False,bottom_up
can more,0.492450281298,0.507549718702,0.5,0.5,-0.02,4,False,bottom_up
can one,0.502329688063,0.497670311937,0.5,0.5,0.0,21,True,top_down
can parrot,0.499624992788,0.500375007212,0.5,0.5,-0.0,1,False,bottom_up
can passengers,0.497002237136,0.502997762864,0.5,0.5,-0.01,2,False,bottom_up
can pedestrians,0.506943454623,0.493056545377,0.5,0.5,0.01,7,True,top_down
can people,0.49410825205,0.50589174795,0.5,0.5,-0.01,22,True,bottom_up
can pineapple,0.510750341064,0.489249658936,0.5,0.5,0.02,2,False,top_down
can see,0.473081543775,0.526918456225,0.5,0.5,-0.05,2,False,bottom_up
can she,0.509593519045,0.490406480955,0.5,0.5,0.02,17,True,top_down
can someone,0.505100030398,0.494899969602,0.5,0.5,0.01,22,True,top_down
can teddy,0.506082263403,0.493917736597,0.5,0.5,0.01,3,False,top_down
can that,0.503824039626,0.496175960374,0.5,0.5,0.01,11,True,top_down
can the,0.495743560635,0.504256439365,0.5,0.5,-0.01,334,True,bottom_up
can these,0.496704621836,0.503295378164,0.5,0.5,-0.01,89,True,bottom_up
can they,0.501738135615,0.498261864385,0.5,0.5,0.0,16,True,top_down
can thing,0.4724609375,0.5275390625,0.5,0.5,-0.06,2,False,bottom_up
can those,0.481254575579,0.518745424421,0.5,0.5,-0.04,2,False,bottom_up
can three,0.498657868247,0.501342131753,0.5,0.5,-0.0,1,False,bottom_up
can traffic,0.502343263119,0.497656736881,0.5,0.5,0.0,5,True,top_down
can trees,0.459465684017,0.540534315983,0.5,0.5,-0.08,2,False,bottom_up
can two,0.501385238332,0.498614761668,0.5,0.5,0.0,5,True,top_down
can water,0.48382345064,0.51617654936,0.5,0.5,-0.03,2,False,bottom_up
can we,0.496375060416,0.503624939584,0.5,0.5,-0.01,26,True,bottom_up
can women,0.525502367848,0.474497632152,0.5,0.5,0.05,2,False,top_down
can you,0.495447135294,0.504552864706,0.5,0.5,-0.01,1082,True,bottom_up
can't the,0.52266613812,0.47733386188,0.5,0.5,0.05,2,False,top_down
cloudy or,0.468010056663,0.531989943337,0.5,0.5,-0.06,4,False,bottom_up
color behind,0.491708901245,0.508291098755,0.5,0.5,-0.02,2,False,bottom_up
color of,0.486924319764,0.513075680236,0.5,0.5,-0.03,23,True,bottom_up
color stripping,0.499899909919,0.500100090081,0.5,0.5,-0.0,2,False,bottom_up
company name,0.489793591059,0.510206408941,0.5,0.5,-0.02,2,False,bottom_up
could,0.502200182415,0.497799817585,0.5,0.5,0.0,741,True,top_down
count the,0.48647696386,0.51352303614,0.5,0.5,-0.03,6,True,bottom_up
curly hair,0.558848913767,0.441151086233,0.5,0.5,0.12,2,False,top_down
daytime or,0.473397570172,0.526602429828,0.5,0.5,-0.05,3,False,bottom_up
delicious food,0.48051249888,0.51948750112,0.5,0.5,-0.04,1,False,bottom_up
describe the,0.503992157419,0.496007842581,0.5,0.5,0.01,13,True,top_down
desert or,0.405778440408,0.594221559592,0.5,0.5,-0.19,2,False,bottom_up
did a,0.501328000272,0.498671999728,0.5,0.5,0.0,26,True,top_down
did adults,0.508949122265,0.491050877735,0.5,0.5,0.02,2,False,top_down
did all,0.503557258175,0.496442741825,0.5,0.5,0.01,2,False,top_down
did any,0.499958263076,0.500041736924,0.5,0.5,-0.0,4,False,bottom_up
did anyone,0.515968163578,0.484031836422,0.5,0.5,0.03,8,True,top_down
did both,0.515567796326,0.484432203674,0.5,0.5,0.03,2,False,top_down
did everyone,0.49112367351,0.50887632649,0.5,0.5,-0.02,2,False,bottom_up
did glass,0.512858678574,0.487141321426,0.5,0.5,0.03,2,False,top_down
did he,0.511685279565,0.488314720435,0.5,0.5,0.02,179,True,top_down
did her,0.517727828459,0.482272171541,0.5,0.5,0.04,2,False,top_down
did i,0.507687195005,0.492312804995,0.5,0.5,0.02,3,False,top_down
did it,0.502093617096,0.497906382904,0.5,0.5,0.0,28,True,top_down
did men,0.495939802477,0.504060197523,0.5,0.5,-0.01,2,False,bottom_up
did one,0.501738492833,0.498261507167,0.5,0.5,0.0,17,True,top_down
did other,0.504383664294,0.495616335706,0.5,0.5,0.01,1,False,top_down
did pena,0.504772320541,0.495227679459,0.5,0.5,0.01,1,False,top_down
did people,0.47960042061,0.52039957939,0.5,0.5,-0.04,2,False,bottom_up
did pickles,0.513018290698,0.486981709302,0.5,0.5,0.03,2,False,top_down
did she,0.510060613231,0.489939386769,0.5,0.5,0.02,71,True,top_down
did snow,0.502136752137,0.497863247863,0.5,0.5,0.0,2,False,top_down
did some,0.514825505117,0.485174494883,0.5,0.5,0.03,2,False,top_down
did somebody,0.504527005932,0.495472994068,0.5,0.5,0.01,1,False,top_down
did someone,0.502557510288,0.497442489712,0.5,0.5,0.01,166,True,top_down
did something,0.492486080329,0.507513919671,0.5,0.5,-0.02,4,False,bottom_up
did that,0.51272383127,0.48727616873,0.5,0.5,0.03,4,False,top_down
did the,0.504975087763,0.495024912237,0.5,0.5,0.01,543,True,top_down
did their,0.503801134307,0.496198865693,0.5,0.5,0.01,1,False,top_down
did these,0.498259811652,0.501740188348,0.5,0.5,-0.0,37,True,bottom_up
did they,0.505051879937,0.494948120063,0.5,0.5,0.01,74,True,top_down
did those,0.517059533643,0.482940466357,0.5,0.5,0.03,1,False,top_down
did two,0.502010946808,0.497989053192,0.5,0.5,0.0,2,False,top_down
did you,0.504166666667,0.495833333333,0.5,0.5,0.01,12,True,top_down
dinner or,0.479014143892,0.520985856108,0.5,0.5,-0.04,2,False,bottom_up
do,0.500523392992,0.499476607008,0.5,0.5,0.0,7460,True,top_down
do you,0.496242152352,0.503757847648,0.5,0.5,-0.01,760,True,bottom_up
does the,0.50215230699,0.49784769301,0.5,0.5,0.0,6359,True,top_down
drywall or,0.507277347811,0.492722652189,0.5,0.5,0.01,1,False,top_down
during the,0.470495515496,0.529504484504,0.5,0.5,-0.06,3,False,bottom_up
eating fruits,0.485506041459,0.514493958541,0.5,0.5,-0.03,2,False,bottom_up
evening or,0.469866383407,0.530133616593,0.5,0.5,-0.06,2,False,bottom_up
evidence of,0.478980470043,0.521019529957,0.5,0.5,-0.04,2,False,bottom_up
"eyes, of",0.480581218046,0.519418781954,0.5,0.5,-0.04,2,False,bottom_up
female or,0.487270772182,0.512729227818,0.5,0.5,-0.03,4,False,bottom_up
females or,0.466778378653,0.533221621347,0.5,0.5,-0.07,2,False,bottom_up
for a,0.500834234186,0.499165765814,0.5,0.5,0.0,171,True,top_down
for beauty,0.477361329594,0.522638670406,0.5,0.5,-0.05,2,False,bottom_up
forehand or,0.538253740809,0.461746259191,0.5,0.5,0.08,2,False,top_down
fork or,0.50573356013,0.49426643987,0.5,0.5,0.01,5,True,top_down
forks or,0.507572591685,0.492427408315,0.5,0.5,0.02,4,False,top_down
formal or,0.483972778381,0.516027221619,0.5,0.5,-0.03,8,True,bottom_up
fries or,0.47323294241,0.52676705759,0.5,0.5,-0.05,8,True,bottom_up
front of,0.488663868277,0.511336131723,0.5,0.5,-0.02,11,True,bottom_up
gas or,0.512390812035,0.487609187965,0.5,0.5,0.02,6,True,top_down
gender of,0.469918166939,0.530081833061,0.5,0.5,-0.06,1,False,bottom_up
guy or,0.497509339975,0.502490660025,0.5,0.5,-0.0,2,False,bottom_up
had it,0.488919148936,0.511080851064,0.5,0.5,-0.02,2,False,bottom_up
had the,0.488367688374,0.511632311626,0.5,0.5,-0.02,2,False,bottom_up
has,0.502608754267,0.497391245733,0.5,0.5,0.01,1923,True,top_down
have all,0.508977977477,0.491022022523,0.5,0.5,0.02,35,True,top_down
have any,0.501349433114,0.498650566886,0.5,0.5,0.0,183,True,top_down
have apples,0.498531571219,0.501468428781,0.5,0.5,-0.0,2,False,bottom_up
have both,0.511450537211,0.488549462789,0.5,0.5,0.02,10,True,top_down
have many,0.480787146756,0.519212853244,0.5,0.5,-0.04,4,False,bottom_up
have other,0.489220038047,0.510779961953,0.5,0.5,-0.02,3,False,bottom_up
have people,0.497871632857,0.502128367143,0.5,0.5,-0.0,13,True,bottom_up
have slices,0.478828766651,0.521171233349,0.5,0.5,-0.04,4,False,bottom_up
have smart,0.511723457872,0.488276542128,0.5,0.5,0.02,1,False,top_down
have some,0.503773584906,0.496226415094,0.5,0.5,0.01,17,True,top_down
have steps,0.507628734901,0.492371265099,0.5,0.5,0.02,1,False,top_down
have the,0.503136391192,0.496863608808,0.5,0.5,0.01,455,True,top_down
have there,0.484269450612,0.515730549388,0.5,0.5,-0.03,3,False,bottom_up
have these,0.503671487982,0.496328512018,0.5,0.5,0.01,115,True,top_down
have they,0.503179872868,0.496820127132,0.5,0.5,0.01,43,True,top_down
have those,0.525544070539,0.474455929461,0.5,0.5,0.05,2,False,top_down
have trees,0.480145183441,0.519854816559,0.5,0.5,-0.04,4,False,bottom_up
have we,0.51313842694,0.48686157306,0.5,0.5,0.03,4,False,top_down
have you,0.504028423758,0.495971576242,0.5,0.5,0.01,49,True,top_down
hazy or,0.466018683366,0.533981316634,0.5,0.5,-0.07,21,True,bottom_up
heads or,0.483154859967,0.516845140033,0.5,0.5,-0.03,1,False,bottom_up
height of,0.486711123997,0.513288876003,0.5,0.5,-0.03,2,False,bottom_up
houses or,0.428468913828,0.571531086172,0.5,0.5,-0.14,3,False,bottom_up
how,0.483374440918,0.516625559082,0.5,0.5,-0.03,2181,True,bottom_up
how many,0.487769160879,0.512230839121,0.5,0.5,-0.02,41498,True,bottom_up
how many people are,0.492438992032,0.507561007968,0.5,0.5,-0.02,5540,True,bottom_up
how many people are in,0.490494156247,0.509505843753,0.5,0.5,-0.02,85,True,bottom_up
hunted by,0.453727879315,0.546272120685,0.5,0.5,-0.09,1,False,bottom_up
i am,0.495916700694,0.504083299306,0.5,0.5,-0.01,2,False,bottom_up
i can,0.489910752548,0.510089247452,0.5,0.5,-0.02,4,False,bottom_up
i see,0.508582139115,0.491417860885,0.5,0.5,0.02,4,False,top_down
if he,0.507501144464,0.492498855536,0.5,0.5,0.02,5,True,top_down
if i,0.503093591646,0.496906408354,0.5,0.5,0.01,2,False,top_down
if it,0.49535034996,0.50464965004,0.5,0.5,-0.01,12,True,bottom_up
if people,0.433565067958,0.566434932042,0.5,0.5,-0.13,2,False,bottom_up
if the,0.487225574528,0.512774425472,0.5,0.5,-0.03,23,True,bottom_up
if you,0.484155114932,0.515844885068,0.5,0.5,-0.03,18,True,bottom_up
in black,0.475904304758,0.524095695242,0.5,0.5,-0.05,6,True,bottom_up
in the,0.48951963861,0.51048036139,0.5,0.5,-0.02,18737,True,bottom_up
in there,0.492751475,0.507248525,0.5,0.5,-0.01,22,True,bottom_up
inside or,0.476878523749,0.523121476251,0.5,0.5,-0.05,35,True,bottom_up
intelligent being,0.522536362151,0.477463637849,0.5,0.5,0.05,2,False,top_down
is,0.497262618151,0.502737381849,0.5,0.5,-0.01,38381,True,bottom_up
is he,0.502094836941,0.497905163059,0.5,0.5,0.0,4149,True,top_down
is it,0.489122555273,0.510877444727,0.5,0.5,-0.02,10603,True,bottom_up
is that a,0.500773953777,0.499226046223,0.5,0.5,0.0,2365,True,top_down
is the,0.496216398916,0.503783601084,0.5,0.5,-0.01,47821,True,bottom_up
is the man,0.502962385498,0.497037614502,0.5,0.5,0.01,2699,True,top_down
is the person,0.498797262056,0.501202737944,0.5,0.5,-0.0,808,True,bottom_up
is the woman,0.507296815183,0.492703184817,0.5,0.5,0.01,3147,True,top_down
is there,0.496251036149,0.503748963851,0.5,0.5,-0.01,6219,True,bottom_up
is there a,0.499426084859,0.500573915141,0.5,0.5,-0.0,11908,True,bottom_up
is this,0.4958548699,0.5041451301,0.5,0.5,-0.01,24633,True,bottom_up
is this a,0.496657550572,0.503342449428,0.5,0.5,-0.01,23880,True,bottom_up
is this an,0.494828326765,0.505171673235,0.5,0.5,-0.01,3616,True,bottom_up
is this person,0.499417829128,0.500582170872,0.5,0.5,-0.0,2621,True,bottom_up
it appears,0.510743615705,0.489256384295,0.5,0.5,0.02,1,False,top_down
it looks,0.507519399731,0.492480600269,0.5,0.5,0.02,4,False,top_down
it's 20,0.528523352212,0.471476647788,0.5,0.5,0.06,1,False,top_down
it's the,0.466928146044,0.533071853956,0.5,0.5,-0.07,5,True,bottom_up
jet or,0.511284291172,0.488715708828,0.5,0.5,0.02,5,True,top_down
laptop or,0.487112041558,0.512887958442,0.5,0.5,-0.03,18,True,bottom_up
letters on,0.516925392793,0.483074607207,0.5,0.5,0.03,4,False,top_down
"lid open,or",0.492921121063,0.507078878937,0.5,0.5,-0.01,2,False,bottom_up
long or,0.527918229902,0.472081770098,0.5,0.5,0.06,42,True,top_down
make and,0.524406682734,0.475593317266,0.5,0.5,0.05,2,False,top_down
male or,0.488610648676,0.511389351324,0.5,0.5,-0.02,288,True,bottom_up
man or,0.517628912173,0.482371087827,0.5,0.5,0.04,590,True,top_down
men's or,0.556302314203,0.443697685797,0.5,0.5,0.11,17,True,top_down
might a,0.496088687067,0.503911312933,0.5,0.5,-0.01,8,True,bottom_up
might anything,0.473803088088,0.526196911912,0.5,0.5,-0.05,2,False,bottom_up
might he,0.489813673603,0.510186326397,0.5,0.5,-0.02,1,False,bottom_up
might one,0.499710251091,0.500289748909,0.5,0.5,-0.0,26,True,bottom_up
might that,0.4875,0.5125,0.5,0.5,-0.02,1,False,bottom_up
might the,0.498704367769,0.501295632231,0.5,0.5,-0.0,20,True,bottom_up
might these,0.498192960402,0.501807039598,0.5,0.5,-0.0,4,False,bottom_up
might today,0.505447567166,0.494552432834,0.5,0.5,0.01,2,False,top_down
might you,0.491177449784,0.508822550216,0.5,0.5,-0.02,4,False,bottom_up
"more green,",0.495567405998,0.504432594002,0.5,0.5,-0.01,2,False,bottom_up
must the,0.502798274694,0.497201725306,0.5,0.5,0.01,2,False,top_down
must you,0.500995233089,0.499004766911,0.5,0.5,0.0,6,True,top_down
mutt or,0.474658123745,0.525341876255,0.5,0.5,-0.05,2,False,bottom_up
name 3,0.47982239594,0.52017760406,0.5,0.5,-0.04,4,False,bottom_up
name a,0.494670649577,0.505329350423,0.5,0.5,-0.01,41,True,bottom_up
name flowers,0.481958985896,0.518041014104,0.5,0.5,-0.04,2,False,bottom_up
name food,0.448490189712,0.551509810288,0.5,0.5,-0.1,2,False,bottom_up
name object,0.494666076245,0.505333923755,0.5,0.5,-0.01,2,False,bottom_up
name objects,0.500536421146,0.499463578854,0.5,0.5,0.0,2,False,top_down
name of,0.499376560781,0.500623439219,0.5,0.5,-0.0,22,True,bottom_up
name on,0.481133301997,0.518866698003,0.5,0.5,-0.04,7,True,bottom_up
name one,0.491766902897,0.508233097103,0.5,0.5,-0.02,25,True,bottom_up
name something,0.507714503946,0.492285496054,0.5,0.5,0.02,4,False,top_down
name the,0.489800975263,0.510199024737,0.5,0.5,-0.02,38,True,bottom_up
name vegetables,0.46714196125,0.53285803875,0.5,0.5,-0.07,2,False,bottom_up
natural habitat,0.462728860664,0.537271139336,0.5,0.5,-0.07,203,True,bottom_up
natural or,0.461027561657,0.538972438343,0.5,0.5,-0.08,22,True,bottom_up
new york,0.51042269776,0.48957730224,0.5,0.5,0.02,33,True,top_down
night time,0.495779636216,0.504220363784,0.5,0.5,-0.01,317,True,bottom_up
no mention,0.49175003733,0.50824996267,0.5,0.5,-0.02,2,False,bottom_up
no way,0.486144279728,0.513855720272,0.5,0.5,-0.03,2,False,bottom_up
"north, south,",0.516820050911,0.483179949089,0.5,0.5,0.03,2,False,top_down
number 1,0.503080608741,0.496919391259,0.5,0.5,0.01,12,True,top_down
number of,0.501937971068,0.498062028932,0.5,0.5,0.0,50,True,top_down
number on,0.505138388787,0.494861611213,0.5,0.5,0.01,9,True,top_down
octagon street,0.436705554588,0.563294445412,0.5,0.5,-0.13,1,False,bottom_up
on they,0.48093799193,0.51906200807,0.5,0.5,-0.04,4,False,bottom_up
one from,0.473702775223,0.526297224777,0.5,0.5,-0.05,5,True,bottom_up
one piece,0.501260151218,0.498739848782,0.5,0.5,0.0,33,True,top_down
overcast or,0.487725523206,0.512274476794,0.5,0.5,-0.02,210,True,bottom_up
painting or,0.507109042479,0.492890957521,0.5,0.5,0.01,12,True,top_down
pattern on,0.493905482042,0.506094517958,0.5,0.5,-0.01,10,True,bottom_up
people live,0.490493691252,0.509506308748,0.5,0.5,-0.02,24,True,bottom_up
perpendicular to,0.509558611751,0.490441388249,0.5,0.5,0.02,3,False,top_down
pet or,0.504474826291,0.495525173709,0.5,0.5,0.01,5,True,top_down
please identify,0.52221810089,0.47778189911,0.5,0.5,0.04,2,False,top_down
prom or,0.513310543458,0.486689456542,0.5,0.5,0.03,2,False,top_down
public or,0.500462562981,0.499537437019,0.5,0.5,0.0,13,True,top_down
red or,0.501514184637,0.498485815363,0.5,0.5,0.0,67,True,top_down
relationship of,0.473607061234,0.526392938766,0.5,0.5,-0.05,4,False,bottom_up
right or,0.495033884922,0.504966115078,0.5,0.5,-0.01,109,True,bottom_up
row your,0.502654298831,0.497345701169,0.5,0.5,0.01,4,False,top_down
sailboat or,0.517119458463,0.482880541537,0.5,0.5,0.03,2,False,top_down
see a,0.499634426283,0.500365573717,0.5,0.5,-0.0,1271,True,bottom_up
see any,0.494478893641,0.505521106359,0.5,0.5,-0.01,562,True,bottom_up
see footprints,0.490433140907,0.509566859093,0.5,0.5,-0.02,2,False,bottom_up
sexes of,0.457616847209,0.542383152791,0.5,0.5,-0.08,2,False,bottom_up
shape of,0.496080054538,0.503919945462,0.5,0.5,-0.01,3,False,bottom_up
should a,0.498663720146,0.501336279854,0.5,0.5,-0.0,42,True,bottom_up
should all,0.490730950871,0.509269049129,0.5,0.5,-0.02,1,False,bottom_up
should anything,0.51536913683,0.48463086317,0.5,0.5,0.03,2,False,top_down
should cars,0.482200337063,0.517799662937,0.5,0.5,-0.04,7,True,bottom_up
should gloves,0.496756791471,0.503243208529,0.5,0.5,-0.01,1,False,bottom_up
should have,0.508594800217,0.491405199783,0.5,0.5,0.02,2,False,top_down
should he,0.503859748246,0.496140251754,0.5,0.5,0.01,19,True,top_down
should helmets,0.500394011032,0.499605988968,0.5,0.5,0.0,2,False,top_down
should i,0.487042841011,0.512957158989,0.5,0.5,-0.03,10,True,bottom_up
should pedestrians,0.466622194692,0.533377805308,0.5,0.5,-0.07,1,False,bottom_up
should people,0.503494657058,0.496505342942,0.5,0.5,0.01,4,False,top_down
should she,0.504191593121,0.495808406879,0.5,0.5,0.01,15,True,top_down
should someone,0.492726790259,0.507273209741,0.5,0.5,-0.01,10,True,bottom_up
should that,0.491364274471,0.508635725529,0.5,0.5,-0.02,3,False,bottom_up
should the,0.502008471501,0.497991528499,0.5,0.5,0.0,100,True,top_down
should there,0.497112471942,0.502887528058,0.5,0.5,-0.01,12,True,bottom_up
should these,0.507234493668,0.492765506332,0.5,0.5,0.01,8,True,top_down
should they,0.498777742039,0.501222257961,0.5,0.5,-0.0,9,True,bottom_up
should traffic,0.482861856174,0.517138143826,0.5,0.5,-0.03,1,False,bottom_up
should we,0.498096667924,0.501903332076,0.5,0.5,-0.0,9,True,bottom_up
should you,0.498136516556,0.501863483444,0.5,0.5,-0.0,62,True,bottom_up
shouldn't he,0.505404434575,0.494595565425,0.5,0.5,0.01,2,False,top_down
shouldn't the,0.511302188129,0.488697811871,0.5,0.5,0.02,12,True,top_down
shouldn't these,0.498634625887,0.501365374113,0.5,0.5,-0.0,2,False,bottom_up
small or,0.466026519431,0.533973480569,0.5,0.5,-0.07,20,True,bottom_up
small room,0.475533200764,0.524466799236,0.5,0.5,-0.05,12,True,bottom_up
something new,0.519115726333,0.480884273667,0.5,0.5,0.04,4,False,top_down
something round,0.531392482016,0.468607517984,0.5,0.5,0.06,2,False,top_down
speaker standing,0.476936341428,0.523063658572,0.5,0.5,-0.05,2,False,bottom_up
spell the,0.503700918303,0.496299081697,0.5,0.5,0.01,10,True,top_down
spot the,0.502001982161,0.497998017839,0.5,0.5,0.0,2,False,top_down
stainless steel,0.506641772341,0.493358227659,0.5,0.5,0.01,21,True,top_down
stop or,0.48738560158,0.51261439842,0.5,0.5,-0.03,19,True,bottom_up
sunny or,0.474767270595,0.525232729405,0.5,0.5,-0.05,226,True,bottom_up
the animal,0.482569554896,0.517430445104,0.5,0.5,-0.03,1557,True,bottom_up
the animals,0.482195059772,0.517804940228,0.5,0.5,-0.04,954,True,bottom_up
the boy,0.499510963145,0.500489036855,0.5,0.5,-0.0,1976,True,bottom_up
the catcher,0.50215005377,0.49784994623,0.5,0.5,0.0,46,True,top_down
the child,0.501131409288,0.498868590712,0.5,0.5,0.0,1010,True,top_down
the cloud,0.490459219372,0.509540780628,0.5,0.5,-0.02,73,True,bottom_up
the color,0.490169591755,0.509830408245,0.5,0.5,-0.02,161,True,bottom_up
the computer,0.513109751072,0.486890248928,0.5,0.5,0.03,520,True,top_down
the driver,0.49822840607,0.50177159393,0.5,0.5,-0.0,76,True,bottom_up
the floor,0.503149820453,0.496850179547,0.5,0.5,0.01,691,True,top_down
the food,0.501215675024,0.498784324976,0.5,0.5,0.0,675,True,top_down
the ice,0.501551226696,0.498448773304,0.5,0.5,0.0,15,True,top_down
the items,0.503129660543,0.496870339457,0.5,0.5,0.01,71,True,top_down
the layer,0.485362379998,0.514637620002,0.5,0.5,-0.03,3,False,bottom_up
the man,0.503494173747,0.496505826253,0.5,0.5,0.01,7119,True,top_down
the mouse,0.509798314338,0.490201685662,0.5,0.5,0.02,122,True,top_down
the number,0.501274941353,0.498725058647,0.5,0.5,0.0,75,True,top_down
the only,0.4935969784,0.5064030216,0.5,0.5,-0.01,52,True,bottom_up
the pacific,0.470244734597,0.529755265403,0.5,0.5,-0.06,1,False,bottom_up
the person,0.501997126834,0.498002873166,0.5,0.5,0.0,2208,True,top_down
the plane,0.495850650815,0.504149349185,0.5,0.5,-0.01,1632,True,bottom_up
the red,0.499336104858,0.500663895142,0.5,0.5,-0.0,224,True,bottom_up
the sheep,0.496858271918,0.503141728082,0.5,0.5,-0.01,326,True,bottom_up
the sign,0.494216966908,0.505783033092,0.5,0.5,-0.01,525,True,bottom_up
the signs,0.498643164787,0.501356835213,0.5,0.5,-0.0,122,True,bottom_up
the spray,0.494950669127,0.505049330873,0.5,0.5,-0.01,5,True,bottom_up
