_q_type,sum_bottom_up,count_bottom_up,_count,winner,my_score,base_score,above_median,o_top_down,o_bottom_up,_diff,diff_score,percen
behind the,0.467690379967,0.5,2,top_down,1.0,1.0,False,1284.08767714,1128.20702657,0.0646192400653,0.0,0.001
"besides gold,",0.498336774781,0.5,2,top_down,2.0,2.0,False,1611.97975537,1601.29096956,0.00332645043728,0.0,0.001
besides green,0.505272925933,0.5,2,bottom_up,0.0,0.0,False,1613.3625782,1647.75382875,-0.0105458518668,0.0,0.001
"besides necklaces,",0.539841955538,0.5,2,bottom_up,0.9,1.0,False,1289.82917287,1513.18424479,-0.0796839110763,-0.1,0.001
besides the,0.501024267536,0.5,15,bottom_up,4.2,7.2,True,9834.72870917,9875.10499476,-0.0020485350711,-3.0,0.007
besides these,0.530843180001,0.5,2,bottom_up,1.0,1.0,False,970.411554836,1098.00461961,-0.0616863600017,0.0,0.001
"besides white,",0.512032192587,0.5,2,bottom_up,0.6,0.6,False,1417.22951326,1487.12092078,-0.024064385174,0.0,0.001
best coast,0.545348796204,0.5,1,bottom_up,0.0,0.0,False,489.483635824,587.129890628,-0.0906975924089,0.0,0.0
between the,0.514787071175,0.5,3,bottom_up,0.0,0.0,True,2114.50997752,2243.3911663,-0.0295741423505,0.0,0.001
between which,0.523525002278,0.5,2,bottom_up,0.0,0.0,False,1335.82713922,1467.73473834,-0.0470500045566,0.0,0.001
bike riders,0.539743807439,0.5,2,bottom_up,0.0,0.0,False,1431.92890081,1679.22728558,-0.0794876148773,0.0,0.001
bird is,0.486639364211,0.5,2,top_down,1.2,1.2,False,1088.90449465,1032.22521172,0.0267212715784,0.0,0.001
boy or,0.519629589708,0.5,2,bottom_up,2.0,2.0,False,1972.77404983,2134.00273651,-0.0392591794161,0.0,0.001
building shown,0.499142180311,0.5,2,top_down,2.0,0.3,False,1748.71794169,1742.72787975,0.00171563937874,1.7,0.001
by looking,0.499163037171,0.5,2,top_down,1.0,2.0,False,1323.05674712,1318.63475194,0.00167392565846,-1.0,0.001
by what,0.518706132969,0.5,1,bottom_up,0.0,0.0,False,586.409107625,631.992263749,-0.0374122659371,0.0,0.0
can 5,0.494365492098,0.5,2,top_down,1.3,2.0,False,1596.24380348,1560.66850874,0.0112690158039,-0.7,0.001
can a,0.495623527119,0.5,65,top_down,49.0,49.1,True,52095.1215726,51191.0631993,0.0087529457628,-0.1,0.03
can all,0.509521020883,0.5,3,bottom_up,2.0,3.0,True,2514.32953555,2611.94425517,-0.0190420417654,-1.0,0.001
can any,0.491814993981,0.5,9,top_down,7.3,6.6,True,6342.16885543,6137.87046158,0.0163700120372,0.7,0.004
can anyone,0.501277494363,0.5,6,bottom_up,5.3,5.3,True,4811.74372274,4836.3946074,-0.00255498872565,0.0,0.003
can anything,0.505615774827,0.5,2,bottom_up,2.0,1.3,False,1392.84205754,1424.48500635,-0.0112315496548,0.7,0.001
can bears,0.491777041052,0.5,1,top_down,1.0,0.3,False,794.698855356,768.982677255,0.0164459178961,0.7,0.0
can bikes,0.490014009998,0.5,1,top_down,0.6,0.6,False,885.464029782,850.787646032,0.0199719800033,0.0,0.0
can both,0.504637057412,0.5,2,bottom_up,1.0,1.0,False,1579.00525987,1608.56717262,-0.00927411482473,0.0,0.001
can cars,0.513113310609,0.5,2,bottom_up,0.0,1.0,False,1359.70060178,1432.94218638,-0.0262266212179,-1.0,0.001
can cat's,0.490802749294,0.5,1,top_down,1.0,1.0,False,913.226375883,880.236520112,0.018394501411,0.0,0.0
can credit,0.484491670191,0.5,2,top_down,1.0,2.0,False,1360.33066765,1278.48346782,0.0310166596172,-1.0,0.001
can crows,0.515040858281,0.5,2,bottom_up,1.9,1.9,False,1740.98766598,1848.9800575,-0.0300817165624,0.0,0.001
can dogs,0.497105269942,0.5,1,top_down,0.3,0.3,False,780.948410687,771.957921412,0.00578946011692,0.0,0.0
can he,0.49619681999,0.5,19,top_down,15.9,16.5,True,15002.8052857,14776.2947299,0.0076063600203,-0.6,0.009
can her,0.503279857544,0.5,2,bottom_up,1.0,2.0,False,1509.94973746,1529.89022151,-0.00655971508834,-1.0,0.001
can i,0.496049840861,0.5,25,top_down,16.7,18.0,True,20507.6722786,20186.1779102,0.00790031827745,-1.3,0.012
can ice,0.501105910742,0.5,2,bottom_up,2.0,2.0,False,1544.86798501,1551.71707838,-0.00221182148392,0.0,0.001
can it,0.503791761159,0.5,1,bottom_up,1.0,1.0,False,863.898863036,877.101780269,-0.00758352231734,0.0,0.0
can kids,0.49682405683,0.5,2,top_down,2.0,2.0,False,1667.5177283,1646.46766972,0.00635188634011,0.0,0.001
can more,0.501910777034,0.5,6,bottom_up,4.0,5.0,True,4571.82780791,4606.90483096,-0.00382155406798,-1.0,0.003
can one,0.501230331916,0.5,21,bottom_up,16.9,18.1,True,15251.8910048,15327.1357098,-0.00246066383153,-1.2,0.01
can passengers,0.497812615544,0.5,6,top_down,4.0,4.9,True,4951.82541711,4908.68794977,0.00437476891243,-0.9,0.003
can pedestrians,0.494709699305,0.5,4,top_down,2.5,2.2,True,3000.62845785,2937.79635206,0.0105806013891,0.3,0.002
can people,0.501157505985,0.5,28,bottom_up,23.4,22.8,True,21499.5974281,21599.3720584,-0.00231501197081,0.6,0.013
can see,0.491581765926,0.5,2,top_down,1.0,2.0,False,1339.94283526,1295.57010558,0.0168364681472,-1.0,0.001
can she,0.488400565727,0.5,12,top_down,9.1,9.1,True,9560.61136818,9127.07811641,0.0231988685454,0.0,0.006
can someone,0.49649550293,0.5,20,top_down,12.4,13.9,True,15335.3929042,15121.917792,0.0070089941409,-1.5,0.009
can that,0.49719516847,0.5,3,top_down,3.0,3.0,True,2735.82230616,2705.29944646,0.0056096630608,0.0,0.001
can the,0.503423395338,0.5,203,bottom_up,160.7,159.3,True,158272.013092,160454.265203,-0.00684679067639,1.4,0.095
can these,0.507246952725,0.5,32,bottom_up,24.4,24.1,True,24312.0070241,25027.12372,-0.0144939054495,0.3,0.015
can they,0.499413822149,0.5,10,top_down,6.9,9.0,True,8093.14065494,8074.18679642,0.00117235570159,-2.1,0.005
can this,0.505244033188,0.5,119,bottom_up,100.2,87.1,True,95696.1512981,97724.7626823,-0.0104880663753,13.1,0.056
can traffic,0.497144054163,0.5,4,top_down,2.0,2.0,True,3726.37754144,3684.04998216,0.00571189167402,0.0,0.002
can trucks,0.522175895716,0.5,2,bottom_up,1.0,2.0,False,1496.60626457,1635.52175315,-0.0443517914321,-1.0,0.001
can two,0.495428249179,0.5,7,top_down,5.3,5.6,True,5216.27073106,5121.74506663,0.00914350164276,-0.3,0.003
can we,0.505528525984,0.5,18,bottom_up,14.5,14.2,True,12386.8092406,12663.7950743,-0.0110570519681,0.3,0.008
can wood,0.520069980157,0.5,2,bottom_up,2.0,2.0,False,1541.40788877,1670.32679137,-0.0401399603138,0.0,0.001
can you,0.503431069793,0.5,872,bottom_up,655.6,678.3,True,677144.565185,686502.09894,-0.00686213958595,-22.7,0.407
car are,0.493942086008,0.5,1,top_down,0.0,0.0,False,524.314097971,511.761188028,0.0121158279834,0.0,0.0
clockwise or,0.531713144386,0.5,1,bottom_up,1.0,0.9,False,946.561451119,1074.76680051,-0.0634262887721,0.1,0.0
color behind,0.508186731502,0.5,2,bottom_up,1.0,1.0,False,999.266476787,1032.53408817,-0.0163734630031,0.0,0.001
color is,0.516253606907,0.5,2,bottom_up,1.9,2.0,False,1225.23985375,1307.57459457,-0.0325072138133,-0.1,0.001
color of,0.510750495996,0.5,6,bottom_up,5.5,4.2,True,3026.47084348,3159.47481147,-0.0215009919915,1.3,0.003
color on,0.488648028445,0.5,2,top_down,1.2,0.6,False,1463.500576,1398.52139206,0.0227039431109,0.6,0.001
compared to,0.502406957825,0.5,4,bottom_up,0.3,0.3,True,3047.68234626,3077.16685368,-0.00481391565073,0.0,0.002
computer is,0.497695259147,0.5,1,top_down,1.0,1.0,False,760.631736972,753.651675284,0.00460948170699,0.0,0.0
could,0.498628975683,0.5,618,top_down,491.1,490.6,True,511101.087329,508305.823999,0.00274204863456,0.5,0.288
counting only,0.469990532048,0.5,2,top_down,0.0,0.0,False,1270.97085496,1127.04452365,0.0600189359045,0.0,0.001
cross-country or,0.53355804882,0.5,2,bottom_up,2.0,2.0,False,1645.37457787,1882.12669793,-0.0671160976406,0.0,0.001
cup is,0.512164665447,0.5,1,bottom_up,0.0,0.0,False,490.653688591,515.123576478,-0.0243293308935,0.0,0.0
dad is,0.478511585474,0.5,1,top_down,1.0,1.0,False,703.676142264,645.684884105,0.0429768290515,0.0,0.0
daytime or,0.519838332382,0.5,2,bottom_up,1.6,1.6,False,1623.55900757,1757.71675238,-0.0396766647639,0.0,0.001
did a,0.488546408143,0.5,14,top_down,6.6,9.6,True,11809.4447514,11280.5187163,0.0229071837142,-3.0,0.007
did adults,0.49087184993,0.5,2,top_down,2.0,1.0,False,1482.06457998,1428.92075795,0.0182563001399,1.0,0.001
did an,0.478314998979,0.5,1,top_down,1.0,0.0,False,792.36865788,726.495515575,0.0433700020425,1.0,0.0
did anyone,0.49362897683,0.5,6,top_down,3.3,3.3,True,4633.70560831,4517.1055485,0.0127420463403,0.0,0.003
did both,0.484435595959,0.5,2,top_down,2.0,0.6,False,1535.24420697,1442.5490521,0.0311288080821,1.4,0.001
did early,0.487670680633,0.5,2,top_down,2.0,2.0,False,1419.7472809,1351.4142108,0.0246586387345,0.0,0.001
did everyone,0.502422411292,0.5,1,bottom_up,1.0,1.0,False,838.9047365,847.072999511,-0.00484482258368,0.0,0.0
did he,0.489202276409,0.5,73,top_down,48.8,55.9,True,54703.0668426,52390.3368986,0.0215954471816,-7.1,0.034
did i,0.492329377185,0.5,3,top_down,2.0,2.0,True,2902.22663934,2814.52455506,0.0153412456305,0.0,0.001
did it,0.494124471229,0.5,18,top_down,16.3,14.9,True,14850.1474144,14505.1911419,0.0117510575422,1.4,0.008
did men,0.504115718684,0.5,2,bottom_up,1.0,1.0,False,1582.03615698,1608.29718608,-0.0082314373688,0.0,0.001
did one,0.494923272342,0.5,6,top_down,4.0,3.0,True,4191.61015859,4107.34706722,0.0101534553164,1.0,0.003
did other,0.495012800359,0.5,1,top_down,1.0,1.0,False,674.039089289,660.725613199,0.0099743992819,0.0,0.0
did pena,0.495468311444,0.5,1,top_down,0.6,0.6,False,507.201662205,498.090321846,0.00906337711188,0.0,0.0
did she,0.490027049179,0.5,41,top_down,35.4,31.2,True,31962.7220525,30712.6061213,0.019945901643,4.2,0.019
did some,0.484858230299,0.5,2,top_down,2.0,1.0,False,981.388916302,923.696196234,0.0302835394011,1.0,0.001
did someone,0.497440561415,0.5,69,top_down,51.1,48.9,True,51521.8653837,50997.0834769,0.00511887716952,2.2,0.032
did something,0.489310671108,0.5,2,top_down,1.6,1.6,False,2047.52274557,1961.80862231,0.0213786577849,0.0,0.001
did that,0.471743997135,0.5,1,top_down,1.0,0.6,False,638.469828779,570.167319339,0.0565120057301,0.4,0.0
did the,0.49648983432,0.5,342,top_down,270.0,262.2,True,252819.651135,249294.642413,0.00702033136076,7.8,0.16
did these,0.500188162652,0.5,22,bottom_up,18.5,15.8,True,17216.7541367,17229.7172155,-0.000376325303759,2.7,0.01
did they,0.496042618267,0.5,27,top_down,20.9,19.2,True,20347.4058553,20027.8452926,0.00791476346554,1.7,0.013
did this,0.496694380382,0.5,77,top_down,59.7,59.5,True,57789.1184587,57030.0216545,0.00661123923649,0.2,0.036
did two,0.49795754157,0.5,2,top_down,2.0,2.0,False,1660.77381445,1647.26076822,0.00408491685933,0.0,0.001
did you,0.501831273355,0.5,12,bottom_up,8.8,9.2,True,8965.30710011,9031.22022205,-0.00366254670988,-0.4,0.006
do,0.497892837596,0.5,2417,top_down,1882.1,1862.8,True,1845866.47726,1830373.60747,0.00421432480835,19.3,1.128
do you,0.501472309776,0.5,725,bottom_up,574.8,574.0,True,576621.838203,580027.731141,-0.00294461955267,0.8,0.338
does the,0.497050648972,0.5,3207,top_down,2477.0,2468.3,True,2516188.76859,2486678.34605,0.00589870205623,8.7,1.496
does this,0.498916718941,0.5,2227,top_down,1735.3,1740.5,True,1771248.49599,1763590.04871,0.00216656211715,-5.2,1.039
during what,0.542402068461,0.5,6,bottom_up,3.3,3.3,True,3660.77348314,4339.20473098,-0.0848041369215,0.0,0.003
during which,0.522947592002,0.5,4,bottom_up,3.0,2.0,True,2551.25320826,2796.69843287,-0.0458951840033,1.0,0.002
estimating from,0.531978603916,0.5,2,bottom_up,0.6,0.0,False,1040.91893923,1183.1651474,-0.0639572078329,0.6,0.001
even after,0.523373060568,0.5,2,bottom_up,1.3,0.3,False,1362.51641534,1496.14788291,-0.046746121137,1.0,0.001
exactly what,0.444081346376,0.5,1,top_down,0.0,0.0,False,479.436750788,382.985741537,0.111837307247,0.0,0.0
female or,0.512841069223,0.5,2,bottom_up,2.0,2.0,False,2090.82453838,2201.04902955,-0.0256821384464,0.0,0.001
females or,0.533349227729,0.5,2,bottom_up,1.3,1.3,False,1838.20313317,2100.93774561,-0.0666984554575,0.0,0.001
fill in,0.498606459351,0.5,1,top_down,0.0,0.0,False,649.298821673,645.689583708,0.00278708129741,0.0,0.0
for the,0.503260934234,0.5,1,bottom_up,0.0,0.0,False,665.078089118,673.810142055,-0.00652186846795,0.0,0.0
for what,0.539339487602,0.5,5,bottom_up,3.0,3.0,True,3992.90755116,4674.88020946,-0.0786789752048,0.0,0.002
for which,0.528265257876,0.5,1,bottom_up,0.0,0.0,False,748.032323323,837.673066862,-0.0565305157527,0.0,0.0
forehand or,0.461792123854,0.5,2,top_down,1.9,1.9,False,2291.37322993,1966.03980969,0.0764157522924,0.0,0.001
fork or,0.494280311768,0.5,5,top_down,5.0,4.0,True,4370.36460336,4271.50698094,0.011439376465,1.0,0.002
from the,0.519548565201,0.5,4,bottom_up,1.0,0.6,True,2950.33118687,3190.41681216,-0.0390971304027,0.4,0.002
from this,0.520672721146,0.5,1,bottom_up,1.0,1.0,False,409.675469503,445.012939807,-0.0413454422911,0.0,0.0
from what,0.510393341299,0.5,21,bottom_up,8.8,10.0,True,14876.1219057,15507.7007841,-0.0207866825975,-1.2,0.01
from where,0.519203186077,0.5,2,bottom_up,1.2,0.9,False,1193.40482118,1288.73479918,-0.0384063721542,0.3,0.001
from which,0.467363753776,0.5,1,top_down,0.3,0.3,False,545.587687567,478.728046548,0.0652724924476,0.0,0.0
front of,0.557742986501,0.5,2,bottom_up,1.6,1.6,False,1463.79294266,1846.03120479,-0.115485973002,0.0,0.001
gender of,0.530375802999,0.5,1,bottom_up,1.0,1.0,False,717.152332384,809.924715526,-0.0607516059972,0.0,0.0
given the,0.49757302241,0.5,9,top_down,4.5,3.5,True,5935.63834697,5878.29404861,0.00485395518087,1.0,0.004
glasses assist,0.463783927582,0.5,1,top_down,0.0,0.0,False,550.622682154,476.244490386,0.0724321448353,0.0,0.0
guessing from,0.5005138682,0.5,2,bottom_up,0.0,0.0,False,883.837964916,885.656538827,-0.00102773639995,0.0,0.001
had it,0.511049356527,0.5,2,bottom_up,1.0,1.0,False,1436.20175104,1501.11261844,-0.0220987130542,0.0,0.001
had this,0.500852477653,0.5,1,bottom_up,1.0,1.0,False,575.070872169,577.035161465,-0.00170495530676,0.0,0.0
hands move,0.503130642059,0.5,1,bottom_up,1.0,1.0,False,549.898972027,556.828507215,-0.00626128411734,0.0,0.0
has,0.497258982514,0.5,946,top_down,732.9,727.1,True,719473.405924,711628.057652,0.005482034972,5.8,0.441
have a,0.503393100677,0.5,2,bottom_up,0.6,0.6,False,1289.75994597,1307.38469244,-0.00678620135411,0.0,0.001
have all,0.490367698388,0.5,9,top_down,6.9,8.5,True,6828.88342523,6570.74490216,0.019264603223,-1.6,0.004
have any,0.513480694835,0.5,15,bottom_up,9.9,11.0,True,9630.13330721,10163.8054018,-0.0269613896698,-1.1,0.007
have both,0.488401003069,0.5,2,top_down,1.3,1.3,False,1329.60328759,1269.31362891,0.0231979938621,0.0,0.001
have other,0.515294743588,0.5,5,bottom_up,3.3,2.3,True,3080.72875406,3275.15188331,-0.030589487175,1.0,0.002
have some,0.513665197319,0.5,2,bottom_up,1.9,1.9,False,1162.94863356,1228.3024699,-0.0273303946388,0.0,0.001
have the,0.50011295737,0.5,76,bottom_up,50.3,47.1,True,49358.4547012,49380.7613456,-0.000225914740182,3.2,0.035
have there,0.517079843008,0.5,2,bottom_up,2.0,2.0,False,1278.65111671,1369.0973738,-0.0341596860163,0.0,0.001
have these,0.494334360564,0.5,44,top_down,30.2,31.0,True,29852.2707229,29183.3219588,0.0113312788729,-0.8,0.021
have they,0.498837124294,0.5,18,top_down,14.4,14.4,True,12404.5060944,12346.9403828,0.00232575141134,1.7763568394e-15,0.008
have trees,0.511729439889,0.5,2,bottom_up,1.6,1.2,False,1214.82778818,1273.193992,-0.0234588797771,0.4,0.001
have we,0.469281842925,0.5,2,top_down,2.0,2.0,False,1800.47696654,1592.05246276,0.0614363141502,0.0,0.001
have you,0.493971910907,0.5,26,top_down,22.4,24.9,True,21363.4082323,20854.4225419,0.0120561781862,-2.5,0.012
he is,0.494891411048,0.5,6,top_down,5.3,6.0,True,4406.97670874,4317.83376793,0.0102171779031,-0.7,0.003
her hair,0.476034626791,0.5,2,top_down,0.0,0.0,False,1036.77041644,941.929836384,0.0479307464179,0.0,0.001
her life,0.513899103005,0.5,2,bottom_up,0.0,0.0,False,1284.28281994,1357.72592326,-0.027798206009,0.0,0.001
here is,0.471475449581,0.5,2,top_down,1.0,2.0,False,1491.8554338,1330.8241042,0.0570491008375,-1.0,0.001
highest number,0.492604919353,0.5,1,top_down,0.0,1.0,False,512.36215285,497.427205369,0.014790161294,-1.0,0.0
how,0.520474162505,0.5,2430,bottom_up,748.2,757.5,True,1584620.98866,1719937.1076,-0.0409483250099,-9.3,1.134
how many,0.512653958933,0.5,20460,bottom_up,10111.4,9986.5,True,12537509.8209,13188583.6822,-0.0253079178654,124.9,9.545
how many people are,0.507584591784,0.5,2003,bottom_up,1102.8,1054.0,True,1336348.47828,1377515.58036,-0.0151691835671,48.8,0.934
how many people are in,0.503746313926,0.5,909,bottom_up,542.9,502.0,True,638672.356218,648315.275592,-0.00749262785147,40.9,0.424
i get,0.476142488818,0.5,2,top_down,0.0,0.0,False,1551.34047745,1410.03822637,0.0477150223642,0.0,0.001
if a,0.510287179397,0.5,13,bottom_up,7.1,6.4,True,9995.28703063,10415.2201281,-0.020574358794,0.7,0.006
if an,0.497293227087,0.5,1,top_down,0.0,0.0,False,835.311176084,826.315881859,0.00541354582666,0.0,0.0
if brooklyn,0.480914677606,0.5,1,top_down,0.0,0.0,False,732.705598995,678.826508321,0.0381706447871,0.0,0.0
if curious,0.499243737444,0.5,2,top_down,2.0,2.0,False,1661.38427848,1656.36609772,0.0015125251116,0.0,0.001
if he,0.486600368427,0.5,3,top_down,2.0,2.2,True,2317.89127898,2196.89824644,0.026799263147,-0.2,0.001
if humans,0.542707766177,0.5,1,bottom_up,0.0,0.0,False,275.64501825,327.131495021,-0.0854155323531,0.0,0.0
if i,0.504154436016,0.5,11,bottom_up,2.6,0.6,True,6517.91029137,6627.1307553,-0.00830887203298,2.0,0.005
if it,0.496798681663,0.5,2,top_down,2.0,2.0,False,1990.82084769,1965.49002659,0.00640263667491,0.0,0.001
if it's,0.550079090659,0.5,1,bottom_up,0.0,0.0,False,685.580651902,838.199722979,-0.100158181319,0.0,0.0
if looking,0.485343885352,0.5,1,top_down,0.0,0.0,False,630.635243244,594.717424869,0.029312229295,0.0,0.0
if one,0.496067940867,0.5,2,top_down,1.0,2.0,False,1160.23446697,1142.12841299,0.00786411826675,-1.0,0.001
if removed,0.477275963511,0.5,2,top_down,0.0,0.0,False,1192.13946861,1088.48928651,0.0454480729775,0.0,0.001
if seated,0.492318657925,0.5,2,top_down,1.6,1.0,False,1722.78565641,1670.65332515,0.0153626841509,0.6,0.001
if she,0.490598206314,0.5,3,top_down,3.0,1.3,True,1857.85447409,1789.27534979,0.0188035873727,1.7,0.001
if someone,0.487993575326,0.5,2,top_down,1.0,1.0,False,1406.88937006,1340.90695096,0.0240128493474,0.0,0.001
if that,0.524468647483,0.5,1,bottom_up,0.0,0.0,False,884.133987814,975.120892301,-0.048937294967,0.0,0.0
if the,0.50598500372,0.5,44,bottom_up,23.1,19.8,True,30957.0661882,31707.1574109,-0.0119700074396,3.3,0.021
if there,0.478343531537,0.5,2,top_down,1.3,1.3,False,1423.17716299,1305.01130783,0.0433129369261,0.0,0.001
